"County","state","mortality_rate","number_death","cancer_incidence","number_cases","population_2015","age","income","poverty","high_unemployment","medicare","white","black","asian","group","paired1","paired2"
"Perry County, Tennessee","Tennessee",198.4,22,492.4,52,7929,43.7,33776,23.6,1,23.9,94.90081384,2.797558494,0.139877925,1,43.9503155183047,47.2377674190227
"Douglas County, Kansas","Kansas",153.7,138,453.5494221,1962.667684,118053,28.8,49246,19.4,1,8.7,84.29288405,3.999408526,4.407351675,2,60.0588551955298,43.5924500759771
"Webster County, Mississippi","Mississippi",214.5,28,549.9,69,9899,41.1,34073,22.1,1,23.5,78.80788079,19.6419642,0.180018002,3,9.22962005715817,74.0352996595891
"Amherst County, Virginia","Virginia",183.9,81,427.4,181,31914,43.6,43998,13.7,1,18,76.83526191,18.39305711,0.749657833,3,73.1753746513277,10.0473820958638
"Vernon County, Wisconsin","Wisconsin",168,70,415.9,160,30506,42.3,46943,18,0,16.5,97.29185244,0.501998084,0.48548499,2,80.5903032887727,134.282834307889
"Rock Island County, Illinois","Illinois",176.2,340,478.1,878,146133,40,48024,16.3,1,20.1,82.14676443,9.449514477,2.146628523,3,10.044145071879,-14.6026451219012
"Taliaferro County, Georgia","Georgia",234.9,6,464.8,12,1639,47.9,28716,32.3,1,22.1,40.03486345,58.86112725,0.522951772,1,50.9647068567574,70.7194965307022
"Union County, North Carolina","North Carolina",158.6,273,429.7,783,222742,37.2,64381,10.8,1,12.3,81.04412853,11.83148879,2.118338316,1,3.46004806924611,-1.88717774085232
"Wilkes County, Georgia","Georgia",210,32,481.7,69,9867,44.4,32042,26.7,1,25.2,53.19787809,42.35812231,0.7406666,1,55.735237384215,66.1335462434661
"Medina County, Texas","Texas",155.6,82,343.3,178,48417,38.5,53440,14.3,1,16.7,90.23885888,2.276755571,0.282748143,1,91.6254264768213,85.672627676877
"Montrose County, Colorado","Colorado",151.4,87,382.1,208,40946,44.2,46336,15.5,1,24,92.58115889,0.646821022,0.438564253,3,11.0091368667781,38.1135925085518
"Van Buren County, Michigan","Michigan",188.2,168,431.5,385,75077,41.3,46715,16.5,1,22.1,87.85019442,3.613754297,0.578625367,1,96.7273163609207,92.514602272879
"Chariton County, Missouri","Missouri",166.7,22,444.2,52,7589,45.5,43049,12,0,17.1,96.31372549,2.274509804,0.117647059,2,4.35036856215447,77.8509029083003
"Tompkins County, New York","New York",159.5,154,479.8,449,104926,30.2,51880,18.7,1,13.1,81.26041115,4.154831255,10.04573684,3,12.3467025812715,-1.53198523678457
"Camden County, North Carolina","North Carolina",143.8,16,417.4,46,10309,41.1,61730,9.7,1,12.3,82.50172227,13.76832989,2.20450743,1,86.8765932507813,45.8921005679997
"Gadsden County, Florida","Florida",184.7,101,403.4,224,46036,40.2,35849,25.6,1,24.8,40.57384112,54.7927796,0.480354989,1,25.8233032887802,-46.1699116650962
"Brantley County, Georgia","Georgia",210.8,41,411.4,80,18455,39,36865,21.7,1,25.8,94.51549967,3.186646434,1.110990679,2,26.7659179400653,43.1038921882495
"Nemaha County, Nebraska","Nebraska",164.7,18,398.7,39,7046,39.1,49162,13.6,1,13.6,96.19140625,1.143973214,0.474330357,1,74.5106126647443,106.597213262439
"Rio Arriba County, New Mexico","New Mexico",155.5,71,351.8,164,39465,40.1,34902,24.1,1,26.6,62.51470625,0.52567023,0.360459586,3,17.5145448651165,-23.5849486596232
"Keweenaw County, Michigan","Michigan",113.5,5,337.6,12,2168,54.5,40411,12.7,1,20.6,98.36214741,0.864422202,0.136487716,3,29.8878508852795,24.8638297817751
"Holmes County, Ohio","Ohio",147.4,59,316.5,126,43909,30.4,50069,12.4,0,11.2,98.71304908,0.204899162,0.085182798,2,66.5934170363471,90.0776822810148
"Prentiss County, Mississippi","Mississippi",203.2,63,428.8,129,25459,39.2,34794,22.3,1,27.1,83.95981087,14.19621749,0.208825847,3,81.4787376672029,20.1355349253858
"Andrew County, Missouri","Missouri",156,35,344.4,74,17296,42.3,56309,10.7,1,12,96.5143121,1.327331487,0.219298246,3,7.97409932129085,13.1398702482502
"Deaf Smith County, Texas","Texas",180.8,33,402,73,18952,31.5,41499,19.2,1,23.1,87.87217459,1.002857885,0.306573136,2,62.9516651388258,-22.2469537166196
"Dyer County, Tennessee","Tennessee",185.6,84,408,183,37893,40.3,43425,19.6,1,21.9,82.04656541,13.34419509,0.580753666,3,39.847222622484,5.03746789083606
"Amelia County, Virginia","Virginia",216.5,35,522.5,84,12903,45.8,51738,12.9,1,15.2,73.34272521,24.32495891,0.101745324,1,82.5721693690866,7.31498206767304
"Elmore County, Idaho","Idaho",180,40,498.1,116,25876,30.8,45049,14.4,1,15.2,84.85195798,2.418338109,3.163323782,3,81.7288998980075,81.1994172729413
"Outagamie County, Wisconsin","Wisconsin",153.4,282,464.9,845,183245,37.8,59377,10,0,13.5,90.51931497,1.114559663,3.206229563,2,1.59415167290717,-30.4068820669114
"Tensas Parish, Louisiana","Louisiana",142.5,10,389,27,4740,43,27522,32,1,23.1,42.75495606,56.46842428,0,3,0.970259169116616,-53.3802689122543
"Miami County, Indiana","Indiana",183.5,79,424.4,182,35862,40.1,41065,17.1,1,19.7,91.38659523,5.142083897,0.328629422,2,81.1622884823009,145.243989003981
"Daviess County, Indiana","Indiana",176.6,64,420.7,149,32906,35,47670,13.8,1,19.2,96.16488229,1.536515381,0.34247632,2,46.8925183871761,60.0042041568249
"Roane County, Tennessee","Tennessee",198.7,159,492.7,379,52753,46.1,43269,18,1,21.9,94.42647004,2.640984162,0.453331327,2,50.1300769625232,112.736025908515
"Laurel County, Kentucky","Kentucky",216.7,138,531.7,345,60094,38.5,34678,24.7,1,27.7,97.20172047,0.863583873,0.557312848,2,27.4864507140592,37.2239455201304
"Tom Green County, Texas","Texas",159.3,199,443,532,118105,33.9,45261,15.6,0,15.3,86.22670699,4.370915033,1.368029481,2,41.2081579910591,48.5242955058348
"Clay County, Georgia","Georgia",153.9,7,405.8,18,3141,40.3,27512,37.3,1,34.2,31.79768041,61.05025773,0,1,51.8657024716958,38.6232619597145
"Habersham County, Georgia","Georgia",180.5,94,477,244,43996,38.8,40994,15.3,1,18.2,87.82364969,3.848186183,2.196337905,1,21.3332910789177,40.8893205915265
"Washoe County, Nevada","Nevada",166,727,453.5494221,1962.667684,446903,37.6,52862,15.4,1,15.6,80.45763518,2.406331677,5.309883017,3,37.1343476464972,74.4715014759983
"Coffee County, Alabama","Alabama",173.3,102,430.4,250,51211,38.8,46931,16.8,1,18,76.77658989,17.35123025,1.232214449,3,24.5727820089087,45.578022210929
"Lee County, Kentucky","Kentucky",275.9,25,528.6,48,6752,41.9,25473,35,1,37.1,96.95181908,0.941143419,0.505689001,1,80.7637475663796,81.8256036242969
"Lafayette Parish, Louisiana","Louisiana",182.9,377,487.3,1015,240098,34,51340,15.1,1,15.6,69.85518375,25.68428591,1.561185621,2,42.5055355066434,-20.1860776388874
"Lucas County, Iowa","Iowa",184.7,27,425.1,56,8682,45.4,42582,16,1,16.8,97.75512542,0.229068835,0.343603253,3,36.6046096431091,9.88555006400826
"Wells County, North Dakota","North Dakota",178,17,405.2,32,4168,51,51470,10.9,0,11,98.02568982,0,0,1,45.4653873341158,16.3714735396996
"Dade County, Missouri","Missouri",194.1,23,383.9,45,7595,47.1,37173,18.5,1,25,95.55001313,0.485691783,0.144394854,2,27.621824783273,-44.8297543204158
"Dane County, Wisconsin","Wisconsin",153.8,707,430.7,2015,523643,34.6,61937,13.4,0,10.2,84.4213423,5.199353976,5.404960427,2,80.4862655466422,96.6866921814672
"Johnson County, Wyoming","Wyoming",147.8,19,412.7,49,8585,44.6,51434,9.7,0,12.2,97.36046512,0.046511628,0,3,1.62834271322936,29.8977380242495
"Stanton County, Nebraska","Nebraska",138.2,10,221.5,16,5937,38.8,55955,9.2,0,12.4,97.18796251,0.559118566,0.263114619,2,28.8802078692243,39.7294985599635
"Dent County, Missouri","Missouri",200.1,45,424.4,90,15593,43.4,34411,21.6,1,25.3,96.47066359,0.397130413,0.614911606,2,87.4297229107469,114.279983866897
"Cache County, Utah","Utah",104.1,80,376.1,295,120783,25,51735,14.2,1,10.8,90.51758636,0.754369982,2.235864077,3,59.8093001870438,-25.7579849494656
"Asotin County, Washington","Washington",188.3,60,371.3,112,22105,44.2,44055,16.3,1,21.2,93.52994555,0.444646098,0.875680581,1,61.6824372904375,81.1487450485775
"Westmoreland County, Virginia","Virginia",179.9,49,450.9,121,17629,46.6,48232,15,1,16.8,67.81340776,28.22236145,0.575269123,1,21.9456806080416,-51.3253959936791
"Reeves County, Texas","Texas",148.3,20,345.2,47,14732,35.6,39006,24.8,1,23.4,82.97482192,3.907186685,0.846322026,2,27.9281012015417,-39.1978941413537
"Hennepin County, Minnesota","Minnesota",156.8,1854,453.5494221,1962.667684,1223149,36.1,64490,13,1,15.2,74.27382081,12.16571379,6.796429382,1,57.325297431089,-17.8075287009223
"Kings County, California","California",147.7,163,409.3,479,150965,31.4,44490,24.9,1,25.7,68.40421727,6.223261235,3.709982914,3,78.4087870037183,25.4143522724745
"Crittenden County, Kentucky","Kentucky",211.2,27,435,55,9183,43,38338,20.3,1,18.3,97.40837129,1.225330731,0.043374539,2,58.69461374823,77.7146215116995
"Clay County, Florida","Florida",182.6,357,471.3,935,203967,39,58539,10.9,1,14.9,82.00864161,9.763596853,3.166393978,3,86.6639280691743,66.9927992158454
"Bremer County, Iowa","Iowa",129.8,44,430.9,133,24722,38.6,62438,7.6,0,9.2,96.73173316,1.09621419,0.762052243,2,4.90245984401554,-5.60488172739759
"Pike County, Indiana","Indiana",174.1,30,412.1,71,12594,43.4,47217,11.3,1,13.9,99.37731536,0.189170017,0.07882084,1,95.745513564907,148.201913997018
"Snyder County, Pennsylvania","Pennsylvania",159.2,78,474.1,224,40444,39.3,49117,13.1,1,13.4,96.81116716,1.011336962,0.684213155,1,14.5539370598271,95.5800570666899
"Kemper County, Mississippi","Mississippi",171,22,432,55,9969,38.3,33015,28.2,1,27,36.83282734,59.01478797,0.107726961,3,14.4652435323223,10.4274025423313
"Grant Parish, Louisiana","Louisiana",222.7,49,482.7,111,22343,37.6,40668,22.8,1,24.4,80.00626062,14.39048386,0.084965567,2,7.30942711234093,23.3494157524274
"Benton County, Mississippi","Mississippi",208.7,22,355.2,38,8182,39.8,30665,25.6,1,18.3,60.99173554,36.34002361,0,1,57.0544808637351,119.673683860078
"Clarke County, Virginia","Virginia",197.4,38,417.9,77,14363,45.7,70281,8.2,1,9.9,88.73347787,5.482900902,0.972095951,2,8.30558727029711,42.9650758229704
"LaSalle County, Illinois","Illinois",191.3,291,519.9,742,111333,41.6,51205,13.6,1,19.4,94.09570169,2.460494408,0.674193233,1,34.5815308159217,69.7607111511042
"San Benito County, California","California",150.4,75,433,216,58792,35,68166,14.1,1,20.5,84.53185538,0.780096252,2.66344667,2,4.13216983433813,33.4733542206741
"Crawford County, Indiana","Indiana",185.8,24,452.7,59,10483,43.1,40657,18,1,24,97.29959399,0.103861769,0.151071665,3,32.9563253326342,66.46075624537
"Duplin County, North Carolina","North Carolina",164.5,111,410.9,276,59159,38.8,34109,27.7,1,25.3,61.86231141,24.95248347,0.467596253,3,66.2158507853746,64.9582083381589
"Fulton County, Indiana","Indiana",208.3,56,469.1,124,20315,41.7,44762,13,1,17.3,94.631461,0.993813027,0.477419983,3,88.2963153999299,104.315951262072
"Coconino County, Arizona","Arizona",119.8,130,348.4,399,139097,30.8,48653,21.3,1,17.8,62.81592673,1.563265814,1.658363874,3,10.1624988019466,23.9713445641944
"Waushara County, Wisconsin","Wisconsin",181.1,70,432.3,158,24033,47.9,46835,13.9,1,19.3,94.42868303,1.837917849,0.365938901,3,39.5222470862791,39.0571377898753
"Erie County, Pennsylvania","Pennsylvania",182.5,620,478.6,1566,278045,38.8,45476,16.4,1,19.4,87.52474469,7.066798162,1.423221777,2,46.63940530736,92.7706694116819
"Bracken County, Kentucky","Kentucky",236.8,23,639.7,61,8321,41,41910,18.6,1,22.3,98.93175074,0.023738872,0,2,20.9074635524303,18.0213719492058
"Nolan County, Texas","Texas",187.7,36,427.3,81,15107,37.9,38742,17.9,1,21.2,87.92244871,4.176349512,0.351902264,3,37.0679470477626,85.3971288727284
"Mineral County, West Virginia","West Virginia",198.4,76,456.6,170,27451,43.2,40012,16.1,1,23.3,94.81534859,3.145379211,0.299045217,2,94.485668442212,126.320483886158
"Floyd County, Indiana","Indiana",179,149,474,395,76778,39.6,53186,11.6,1,12.5,90.40843215,4.919631094,1.034255599,1,38.1436086958274,9.06654137887855
"Mobile County, Alabama","Alabama",205.1,925,475.8,2134,415395,37,42943,19.6,1,20.6,60.00371755,35.04517792,1.966923435,1,25.2762113464996,63.2109349652575
"Jones County, Georgia","Georgia",162.1,50,472.1,150,28494,39.4,51749,14.5,1,18.6,72.58333913,25.70812165,0.741178927,1,78.2393108587712,80.4570107277648
"Tyrrell County, North Carolina","North Carolina",222.3,13,431,24,4070,44.4,32773,28.3,1,23,59.89884393,30.39499037,2.817919075,3,74.9985083006322,27.4768926244015
"McPherson County, South Dakota","South Dakota",97.3,5,284.8,13,2415,52.1,38469,17,1,11.9,93.41581971,0.220945647,0.353513036,2,76.2002571485937,75.5148515737942
"Franklin County, Kentucky","Kentucky",215.7,127,512.2,297,50375,40.7,49400,12.9,1,15.3,82.83177307,10.49057817,1.605126763,2,35.1519491756335,26.7137829768
"Washington County, Mississippi","Mississippi",241.1,127,496.1,269,48130,36.2,30292,35.1,1,32.4,27.16418514,71.1630538,0.71314572,3,5.8132951380685,-26.6481810699269
"Chippewa County, Michigan","Michigan",170.7,79,414.6,187,38033,39,38989,19.9,1,20.2,71.56481625,6.69413777,0.904473125,2,59.8826349247247,13.8372612515337
"Yell County, Arkansas","Arkansas",207.9,56,445.9,117,21713,39.1,37080,17.4,1,23.5,81.96473552,2.729562629,1.497595603,1,56.870701815933,102.129435679714
"Pitkin County, Colorado","Colorado",59.7,12,318.5,64,17787,43.4,73274,7,1,9.6,94.44316877,1.526980482,1.44087256,3,9.16110440157354,53.5203294900029
"DeKalb County, Tennessee","Tennessee",202.8,48,422.5,99,19182,41,38595,20.1,1,23.4,94.78936863,1.449732115,0.619813006,2,51.9334896001965,37.3391041704289
"Warren County, Pennsylvania","Pennsylvania",179.3,113,496.8,295,40396,46.2,44651,14.1,1,14.8,97.85410869,0.493139983,0.488257409,1,1.01736965589225,-5.29724249453557
"Kearney County, Nebraska","Nebraska",136.4,13,440.9,39,6585,40.8,56791,9.6,0,10.6,98.12185066,0.152695068,0.320659643,2,38.327203434892,48.915219143366
"Dodge County, Georgia","Georgia",190.6,47,448.2,110,20882,40.2,32293,25.9,1,22.4,66.53918791,28.47497639,0.571293673,1,48.8960669608787,18.2602511927773
"Nevada County, Arkansas","Arkansas",210.7,25,407.9,48,8558,41.8,30935,25.1,1,29.8,67.18981008,30.76310702,1.285113158,2,56.5751915797591,49.150523167615
"Hampton city, Virginia","Virginia",190.3,270,491.9,709,136454,35.4,47615,15.2,1,16.4,42.82139757,50.08352726,2.309583385,3,2.86438553594053,99.6496629743629
"Winona County, Minnesota","Minnesota",166.8,98,453.5494221,1962.667684,50885,33.9,49365,15.8,1,11.8,94.12063343,1.431277215,2.554039014,2,10.6083345832303,-25.8747442394826
"Sioux County, Iowa","Iowa",140.7,57,427.3,160,34937,33.3,60205,7.5,0,11.2,92.53817845,0.434669217,0.736039874,3,99.7302735457197,105.0664903429
"Mower County, Minnesota","Minnesota",155.6,88,453.5494221,1962.667684,39116,39,47537,12.1,1,16,92.21709537,3.023427741,2.024116043,2,56.6713891690597,71.9515655627424
"Hamilton County, Tennessee","Tennessee",172.9,713,470.9,1885,354098,39.3,48380,15.9,1,17.5,75.1445618,19.8327593,1.981782196,1,15.5121795134619,29.0309699488085
"Roane County, West Virginia","West Virginia",204,41,449.2,89,14435,44.2,33041,23.1,1,32.6,97.9365947,0.020497404,0.12981689,3,35.8189688529819,43.7687601173012
"Woodruff County, Arkansas","Arkansas",215.9,22,492.6,50,6741,43.9,29969,25.1,1,34.3,69.85536302,26.76500072,1.102677932,3,7.41610960103571,-17.3100104090586
"Fairfield County, South Carolina","South Carolina",201.9,62,460.4,138,22747,44.1,35490,23.1,1,26.3,39.11199585,57.43898217,0.268305349,3,25.634091347456,40.1206464528217
"Weakley County, Tennessee","Tennessee",205.4,87,443.1,182,33960,36.9,36205,21.5,1,17.8,88.39750109,9.103588552,0.145285486,3,1.19865075685084,-17.964952661276
"Wayne County, North Carolina","North Carolina",191.3,258,458.6,611,124132,36.7,36890,23.3,1,23.3,57.2691086,31.32805275,1.156366853,1,72.1905660117045,46.4018140048038
"De Witt County, Illinois","Illinois",195.5,43,512.9,109,16247,42.8,55193,10.9,1,17.7,96.18623383,0.500366122,0.07322431,3,7.99303750973195,-36.4024748865285
"Clay County, South Dakota","South Dakota",170.9,21,393.5,46,13964,25.2,43453,24.9,1,13,90.06494897,1.484547855,2.069802298,3,73.8348196493462,11.2588493908419
"Miami County, Kansas","Kansas",150.2,56,453.5494221,1962.667684,32553,40.4,63924,9.5,1,9.5,95.58247675,1.336882036,0.379344102,2,57.2805024683475,70.495737666067
"Maries County, Missouri","Missouri",187.4,24,287.4,35,8963,44.2,40165,16.1,1,22.9,96.41161533,0.419564977,0.607265099,2,45.6913001136854,36.5245340950569
"Lee County, Virginia","Virginia",224.2,73,330.5,107,24742,42.8,31429,26.6,1,26.3,93.93398397,3.824486233,0.261842418,1,1.8147103022784,27.1510729712562
"Harnett County, North Carolina","North Carolina",182.9,190,468.2,501,128140,33.6,45380,20.5,1,18.5,67.93838481,20.96122909,1.175997426,1,45.4421794740483,23.1244850042996
"Richland County, Wisconsin","Wisconsin",168.7,45,420.9,105,17495,44.1,44026,13.5,0,18.9,96.44426913,0.726924377,0.383184943,1,59.3619584105909,88.5077091111831
"Fayette County, Iowa","Iowa",151.3,50,467.8,138,20257,43.1,45522,14.4,1,20.1,96.119287,1.083102628,0.762543106,3,40.598659333773,106.091536412988
"Rosebud County, Montana","Montana",164.6,15,490.7,46,9398,36.9,50751,20.5,1,14.2,61.01368691,0.203165098,0.588109495,1,19.0492756664753,77.6753650208367
"San Juan County, Utah","Utah",123.9,16,261.1,35,15772,30.6,40590,29.2,1,25.1,49.63041183,0.16499472,0.739176346,1,51.5242307912558,99.1569724183626
"Dade County, Georgia","Georgia",238.2,47,423.9,83,16264,40.7,42953,16.4,1,18,95.67041654,1.197932502,1.045910611,1,94.4537910632789,62.7044242621464
"Teton County, Wyoming","Wyoming",136.9,23,402.7,83,23125,38,75348,7.7,0,5.5,93.1603245,0.32271077,1.900407871,3,74.5978922117501,142.095290610131
"Camden County, New Jersey","New Jersey",182.8,1039,530.9,2963,510923,38.3,61685,13,1,18.6,63.28325501,19.40984144,5.58595932,2,2.3043078603223,-18.2180653045385
"Cumberland County, Virginia","Virginia",179.2,24,436.4,56,9719,44.3,41409,19,1,21.5,63.01856172,33.14737803,0,2,14.4125532358885,34.0066931679451
"Marshall County, Oklahoma","Oklahoma",196.9,43,460.2,99,16232,43.1,38517,18,1,23.1,71.74347446,1.473710503,0.162357937,3,88.5491502471268,137.792248465068
"Sumter County, Florida","Florida",142.9,358,444.5,1067,118891,65.3,51907,10.9,1,21.8,88.34112128,8.3418586,0.715200782,2,80.741319572553,50.7563073665423
"Lake County, Ohio","Ohio",182.5,558,483.8,1415,229245,43.2,58697,8.9,1,13.6,92.55220387,3.702105589,1.268322023,2,33.91481381841,35.8917855932608
"Botetourt County, Virginia","Virginia",148.7,68,401.6,180,33347,46.4,63646,7.8,0,11,94.00995325,3.456492233,0.153822953,1,73.0417778715491,103.834437716258
"Salem city, Virginia","Virginia",186.6,63,511.5,162,25432,40.5,54195,10.2,0,13.3,88.11047089,7.792569044,2.074309557,2,0.453178165480494,-28.5420924657455
"Jenkins County, Georgia","Georgia",215,22,409.5,41,8957,40.7,30678,34.6,1,28.9,62.64290518,33.53508182,0.224164985,2,55.0305126002058,145.499536617042
"Creek County, Oklahoma","Oklahoma",210.2,182,495.5,420,70892,40.6,46614,15.8,1,21.3,79.68513729,2.321900482,0.501688783,3,43.8582364469767,20.4697497111871
"Hardy County, West Virginia","West Virginia",153,29,374.9,68,13852,44.5,41010,15.3,1,19.1,94.69001148,4.355625718,0.46641791,1,52.8228431241587,28.7550633494799
"Leelanau County, Michigan","Michigan",132.5,54,372.9,138,21981,52.4,60622,8.9,1,13.9,92.63733235,0.574131913,0.688958295,1,86.6644260007888,83.225623943655
"Cross County, Arkansas","Arkansas",230.9,51,433.4,93,17284,40.1,38597,22.3,1,27.5,74.87261693,23.02627812,0.618308811,2,97.8053697152063,28.6349063752125
"Yamhill County, Oregon","Oregon",168.6,193,466.8,512,102659,38.2,52903,15.4,1,18.9,88.02697811,1.236167288,1.277702509,2,37.9910052288324,-11.518633009506
"Riverside County, California","California",154.6,3377,414.5,8857,2361026,34.5,56877,17.1,1,24.2,64.61041448,6.265186908,6.185118397,3,0.732399965636432,-9.76024445818337
"Jones County, North Carolina","North Carolina",205.2,30,464.6,65,10013,45.2,38928,22.2,1,22.6,65.09935078,31.71355499,0.098367106,3,30.3859574487433,55.2121140031865
"Poinsett County, Arkansas","Arkansas",247.1,76,480.5,145,24040,40.2,35851,21.9,1,35,89.34737712,8.269310202,0.028913672,1,65.4714923817664,89.0879011713835
"Cooke County, Texas","Texas",169.2,84,428.1,203,39229,39.6,57378,15.3,1,16.8,92.24736204,2.425118031,0.73785506,1,33.0408199457452,10.4496736594055
"De Soto Parish, Louisiana","Louisiana",197.8,64,503.8,161,27052,39.8,40642,23.5,1,22.5,58.08640831,37.99740404,0.296680883,2,34.2506262939423,93.9306381600073
"Grafton County, New Hampshire","New Hampshire",155,178,435.5,487,89320,41.9,56353,11.6,1,14,93.24050548,0.871940095,3.210172261,1,29.7855922952294,-76.7408399149236
"Tallahatchie County, Mississippi","Mississippi",235,37,447.4,70,14588,36,28456,37.4,1,27.6,42.10842971,45.13002206,1.484056421,2,36.8435490177944,36.6377679612645
"Kent County, Maryland","Maryland",180,59,461.7,140,19787,46.2,53288,13.8,1,22,82.2868042,15.37920996,0.968729609,2,70.3320909989998,-4.38242095259609
"Marshall County, Illinois","Illinois",164.3,32,490.6,88,11982,45.9,53732,10.7,1,16.5,96.71403927,0.599687834,0.361455681,1,31.1091982992366,74.0212874906754
"King William County, Virginia","Virginia",187.4,32,514.8,90,16269,40.7,64305,8.8,1,13.5,76.52357582,19.54401441,0.869727278,1,22.8967300849035,50.8961220921154
"Haywood County, Tennessee","Tennessee",183.7,41,457.4,99,18023,39.9,35470,24.7,1,26.4,46.15848312,49.34239369,0,1,8.6066717049107,-3.07435759053782
"Jeff Davis County, Georgia","Georgia",171.6,29,411.6,68,14920,36.1,35235,24.8,1,28.3,76.05070047,16.27084723,0,2,53.0094674089924,45.7694201527672
"Elk County, Kansas","Kansas",215.9,12,453.5494221,1962.667684,2605,50.4,36471,17.4,1,20.3,94.37197167,0.782705926,0.409988818,3,11.9295588228852,11.9263942817207
"Manitowoc County, Wisconsin","Wisconsin",165.9,188,440.1,471,79806,44.2,48430,10.8,1,16.3,94.56911862,0.465717018,2.653966046,1,39.645042293705,67.452994438944
"Wabaunsee County, Kansas","Kansas",150.3,14,453.5494221,1962.667684,6951,42.1,59160,9.6,1,9.3,96.39845648,0.22866943,0.242961269,1,57.5495729921386,9.86558895470137
